date,corn,soybeans,sugar,iron,copper,oil,coffee,soybean_price,oil_price,iron_price,wheat_price,corn_price,copper_price,coffee_price,USDBRL,brazil_rate,us_rate,vix
6/1/04,76956839,1045129879,262307551,394248972,,295307681,131913393,320.23,35.68,16.39,136.86,123.28,2689.045455,69.51227273,3.128347619,16,1.25,15.34
7/1/04,38793328,658979792,271691763,489420402,,231719816,127629971,289.79,37.99,16.39,132.39,104.49,2816.795455,63.26595455,3.035977273,16,1.25,15.50
8/1/04,49957954,580532355,267229515,505739417,51513761,321934004,159912723,225.79,41.92,16.39,122.06,104.09,2844.202381,61.70118182,3.0021,16,1.5,16.68
9/1/04,61224402,647732873,294095060,413057313,28452792,70818158,154868513,206.45,41.72,16.39,126.82,97.73,2903.170455,66.59909091,2.890347619,16.25,1.75,14.08
10/1/04,12153148,240321675,270747485,407410851,21677693,199131201,183275811,193.43,47.04,16.39,123.06,93.42,3009.404762,65.8872381,2.852055,16.75,1.75,"	14.97"
11/1/04,14535863,115603969,272188404,446745135,35458213,192455031,192400009,195.82,42.33,16.39,127.13,93.76,3130.309091,72.994,2.78524,17.25,2,"	13.58"
12/1/04,12188183,97078959,269214309,416648421,34437485,221454284,193906438,198.59,39.13,16.39,123.55,95.61,3139.785714,84.15065217,2.71736087,17.75,2.25,"	12.46"
1/1/05,26404130,76755882,212321239,355237870,17344325,213392015,176193310,195.66,43.16,28.11,122.78,96.04,3168.1,86.10242857,2.6922,18.25,2.25,13.44
2/1/05,38208551,90784746,283135035,417022083,13156313,194315237,192339915,197.59,44.46,28.11,123.13,94.36,3247.1,96.95415,2.597,18.75,2.5,11.71
3/1/05,40359086,400654369,270682454,416993980,26340184,117354610,243785475,233.18,51.13,28.11,129.96,100.01,3378.904762,109.1636957,2.7039,19.25,2.75,13.13
4/1/05,2342619,613457998,231122158,581312383,17384658,290662344,233257580,228.76,50.91,28.11,120.06,96.47,3389.809524,105.8970952,2.5784,19.5,2.75,14.46
5/1/05,2365557,527635325,372191717,616498928,37656274,311846067,210799516,233.46,48.09,28.11,119.15,95.36,3241.9,106.7375909,2.452,19.75,3,13.97
6/1/05,604576,695739146,378995793,686228123,22204412,23944671,213160445,254.74,54.08,28.11,122.47,97.62,3529.727273,102.8160909,2.4127,19.75,3.25,11.87
7/1/05,691584,660893436,388008871,652821732,38743352,850103722,178974595,253.35,56.44,28.11,130.16,105.66,3608.47619,94.31442857,2.3727,19.75,3.25,11.05
8/1/05,1193766,686761605,409013881,701746093,751763,636256386,248180783,230.43,61.92,28.11,131.56,99.29,3791.909091,91.33491304,2.359830435,19.75,3.5,12.95
9/1/05,1962589,543271447,375291329,628264690,37471946,560134172,188584214,212.02,61.95,28.11,137.39,97.07,3850.659091,83.70572727,2.2936,19.5,3.75,12.63
10/1/05,753171,441201013,322829803,700518209,12091353,189950194,221724120,211.17,58.29,28.11,143.07,101.55,4056.166667,87.8477619,2.25565,19,3.75,"	14.94"
11/1/05,345761,340663805,365103632,746982435,20394813,476913355,221760131,210.90,55.05,28.11,136.35,95.98,4278.159091,90.85513636,2.21,18.5,4,"	12.15"
12/1/05,5910939,233947151,308309116,793013716,60174476,299879245,204210112,216.54,56.59,28.11,139.99,102.68,4577.025,91.06527273,2.2847,18,4.25,"	11.26"
1/1/06,11085564,178997738,268212078,607706998,473559,721417096,194381415,214.01,62.34,33.45,144.57,102.79,4743.857143,105.9556364,2.2731,17.25,4.5,12.04
2/1/06,23572936,171610923,264736525,576832015,25234381,235088202,220060400,214.37,59.90,33.45,158.89,106.94,4974.975,102.27845,2.1611,17.25,4.5,12.47
3/1/06,14953283,620410217,424273827,835991094,26342350,360583552,222280363,212.71,61.36,33.45,155.79,104.95,5123.673913,97.44230435,2.1512,16.5,4.75,11.69
4/1/06,24364980,653130689,250084530,545378409,22671055,402166083,198579198,208.90,68.18,33.45,161.21,107.91,6404.444444,98.88805,2.1285,15.75,4.75,11.85
5/1/06,34756700,695941023,325178180,457643288,1309981,368935921,213171508,217.36,68.92,33.45,176.60,110.62,8059.190476,94.78426087,2.1773,15.75,5,14.45
6/1/06,39705393,510385914,640596183,790138827,66129926,448002825,194738326,216.50,68.45,33.45,176.92,109.61,7222.772727,90.27368182,2.2475,15.25,5.25,16.92
7/1/06,73344100,978044623,745257922,1069616747,71122464,869964337,201418704,217.25,72.47,33.45,181.35,114.31,7726.738095,92.8467619,2.1885,14.75,5.25,15.33
8/1/06,71397117,657746849,626602641,860180294,44347355,725140004,282485782,203.84,71.77,33.45,165.13,115.28,7690.25,100.2878696,2.1551,14.25,5.25,13.35
9/1/06,45893914,449124734,522272895,786793164,68066671,970123330,284789467,199.31,62.09,33.45,164.94,120.27,7622.642857,100.0079524,2.1679,14.25,5.25,12.18
10/1/06,45098588,379313988,757126569,913696848,78325861,536180576,311071765,217.89,57.99,33.45,182.43,142.26,7497.409091,99.993,2.1475,13.75,5.25,"	11.31"
11/1/06,54082444,235974241,620804470,793800366,69801120,511483460,341978544,244.00,58.45,33.45,182.30,164.11,7029.295455,108.6230909,2.1571,13.25,5.25,"	10.82"
12/1/06,43638897,116676618,720981287,711093267,46143988,745442427,287773871,243.31,60.90,33.45,179.53,160.72,6680.973684,112.938619,2.14912,13.25,5.25,"	10.96"
1/1/07,67986908,138464515,535143326,866132381,28911016,708401020,282104796,255.87,53.71,36.63,172.57,165.16,5689.340909,111.048,2.1377,13,5.25,11.04
2/1/07,56857342,206561696,347062827,718149904,38893615,484405508,272636613,278.04,57.71,36.63,175.27,177.38,5718.15,109.14505,2.0955,13,5.25,11.16
3/1/07,53286555,561777651,341694715,827541851,69252064,542596040,291641035,276.96,60.64,36.63,173.31,169.58,6465.295455,105.0565,2.0879,12.75,5.25,15.16
4/1/07,97177687,844895958,332823169,767607425,112433208,695026639,258628983,270.39,65.18,36.63,178.56,152.63,7753.342105,104.1393333,2.0312,12.5,5.25,12.93
5/1/07,109275172,825729511,354196252,891562872,58234354,570385642,256801132,283.21,65.24,36.63,178.01,160.14,7677.952381,104.5026522,1.9808,12.5,5.25,13.30
6/1/07,131189768,817432365,442092372,735935825,74612088,488465839,241757164,302.83,68.10,36.63,206.52,164.54,7514.238095,111.334381,1.9311,12,5.25,14.95
7/1/07,172062201,859556936,471486139,1089285350,141040004,702271805,243428952,313.48,73.43,36.63,222.00,147.22,7980.931818,110.0967727,1.882,11.5,5.25,17.27
8/1/07,228428966,763424128,541516296,995296167,73793612,874899327,278016493,309.01,70.35,36.63,240.69,151.03,7500.204545,112.4374783,1.9652,11.5,5.25,25.03
9/1/07,246332440,543682814,474203178,890848213,44806641,728282955,273692155,347.56,76.62,36.63,297.95,160.13,7671.35,117.4655,1.8988,11.25,4.75,22.20
10/1/07,333173341,664188525,489688163,992179346,177512972,1008655552,355614503,358.40,82.12,36.63,303.63,164.11,8020.586957,121.2960435,1.8002,11.25,4.5,"	19.12"
11/1/07,245941446,267529163,425973600,858182806,54251153,755651537,346184286,389.02,91.32,36.63,286.50,171.11,6957.431818,119.5157727,1.7691,11.25,4.5,"	25.58"
12/1/07,177128235,190488327,340592571,925189314,158570982,1346023742,302670034,423.08,89.85,36.63,339.23,180.28,6630.736111,124.2117143,1.7852,11.25,4.25,"	21.65"
1/1/08,96695248,250720594,313182005,962205273,65854127,615869199,286700425,461.72,90.77,60.8,336.12,206.56,7078.909091,127.5655217,1.7735,11.25,3,25.82
2/1/08,78781814,186175798,326563540,921420952,49737411,607035405,322455916,508.22,93.38,60.8,393.87,220.05,7941.142857,144.7370952,1.7269,11.25,3,25.46
3/1/08,134872780,561759980,248862934,533887444,40709347,367863659,328587726,495.69,101.68,60.8,403.81,233.93,8434.315789,140.9864762,1.7068,11.25,2.25,27.10
4/1/08,114405553,1397622773,273723069,682205769,116770637,147273473,328863485,482.79,108.74,60.8,326.85,246.64,8714.181818,131.8786818,1.6881,11.75,2,21.56
5/1/08,159349596,1860281570,409769329,1517848075,144917971,1939748035,273201400,489.09,122.95,60.8,288.42,243.53,8356.125,132.0807727,1.6597,11.75,2,18.30
6/1/08,82089630,1506029479,504775666,1626065263,56087282,1799810744,270436871,552.47,131.63,60.8,314.16,287.13,8292,135.7058095,1.6181,12.25,2,22.11
7/1/08,92124697,1901275553,562927785,1975865187,200962081,1405623474,282122937,554.15,132.54,60.8,299.43,267.14,8407.021739,137.7191304,1.5906,13,2,24.32
8/1/08,78018901,1219805263,520834406,1908527309,218638146,1950325659,330624343,471.07,114.37,60.8,304.16,235.16,7633.8,136.302381,1.6115,13,2,20.70
9/1/08,69344952,900387877,529373779,2137911295,58097148,1107032760,441403388,433.38,99.83,60.8,263.05,233.95,6975.113636,131.9016818,1.7988,13.75,2,30.24
10/1/08,94693266,524600381,643558531,1916838521,108627825,1450355813,475489531,338.78,71.93,60.8,202.77,183.02,4894.891304,113.1413478,2.1721,13.75,1,"	61.18"
11/1/08,156554662,311204065,580222583,1372279398,9861009,1125021707,431973174,329.14,53.19,60.8,194.11,164.30,3729.1875,112.5494,2.2655,13.75,1,"	62.67"
12/1/08,248240567,332309772,567289939,983488091,126078294,1166799569,395226141,318.81,40.19,69.9826087,188.84,158.91,3105.095238,107.7238696,2.3936,13.75,0.125,"	52.41"
1/1/09,234442364,252959462,563228405,1029200062,37191715,343638081,281088397,364.72,42.85,72.50909091,211.28,173.30,3260.357143,114.2146818,2.306642857,12.75,0.125,44.68
2/1/09,126149660,264420003,439240337,993873188,7126738,504198570,303513459,341.27,41.37,75.59,195.22,163.40,3328.4125,114.7029,2.3119,12.75,0.125,45.57
3/1/09,76382703,973432461,406931864,1318969157,42701652,305993424,301397627,333.66,46.43,64.07272727,199.10,164.58,3770.875,112.8563182,2.32954375,11.25,0.125,44.80
4/1/09,59932406,1541992716,404737456,1401430447,58508178,487157431,295847603,374.47,49.76,59.78181818,200.89,168.80,4436.925,117.2659545,2.2051,10.25,0.125,38.06
5/1/09,49377293,1723759803,661222519,803343943,10701036,602785281,261484697,422.36,58.03,62.69047619,227.19,180.07,4591.460526,128.0159524,2.072647368,10.25,0.125,31.98
6/1/09,25947012,2576884548,705648157,1010765844,98326230,557516944,315817824,445.11,68.70,71.65909091,227.31,179.39,5015.431818,126.98,1.95777619,9.25,0.125,29.14
7/1/09,30053732,1467994595,761201854,1181081346,62862075,1278703323,263781788,398.09,64.88,83.95217391,195.33,151.80,5228.413043,120.1316957,1.936152632,8.75,0.125,26.16
8/1/09,63463151,1306234492,719615293,1040735107,64892638,1347809214,338451181,408.96,71.80,97.66666667,179.55,152.04,6176.875,126.5387619,1.84372381,8.75,0.125,25.34
9/1/09,114928235,817739522,899802867,1252950493,70311508,765003495,352500491,349.05,68.15,80.71363636,156.93,150.59,6195.75,126.1036818,1.821375,8.75,0.125,24.93
10/1/09,123995318,315674629,859269608,1137282758,110913114,1169959459,351278349,354.86,74.01,86.78636364,163.73,167.28,6305.988636,130.2526364,1.7373,8.75,0.125,"	24.25"
11/1/09,174621969,84128257,1022581469,971611056,31282812,1064318449,363732950,370.71,77.34,99.25714286,177.61,171.69,6682.440476,127.3920476,1.724176471,8.75,0.125,"	23.79"
12/1/09,222856121,99044463,928078110,1098520069,208195152,923947375,361596244,379.30,74.69,105.2478261,171.16,164.61,6976.97619,131.4438696,1.7468,8.75,0.125,"	21.24"
1/1/10,165685024,45344090,763169604,962088687,77049470,1014449589,322342046,358.97,77.10,125.9142857,167.82,167.34,7367.375,132.0408571,1.77218,8.75,0.125,20.64
2/1/10,106938788,265511705,663017181,1165060812,110309603,1233618618,326243146,344.66,74.65,127.615,160.16,161.91,6867.675,130.8649,1.84656,8.75,0.125,22.54
3/1/10,73548732,1164902411,667020025,1429278088,46243704,1524449171,388014120,348.95,79.64,139.7695652,156.46,158.93,7466.934783,135.3260435,1.786347826,8.75,0.125,17.77
4/1/10,45409120,1797294094,655027568,1439588863,126031560,1313601063,348204825,357.64,84.31,172.4681818,156.83,157.27,7729.8375,140.0635909,1.75847619,9.5,0.125,17.42
5/1/10,19443506,2089591498,981373790,2190127351,26618320,1743693234,323691844,349.05,75.37,161.347619,158.33,163.24,6843.157895,142.5754762,1.802738889,9.5,0.125,31.93
6/1/10,1594727,1488413735,1099694357,2324555243,159308204,1194755082,292831664,348.51,74.95,143.6318182,149.21,152.87,6501.5,156.7087727,1.807768182,10.25,0.125,29.92
7/1/10,50441701,1495975867,1235297381,2839883317,76975309,711758481,361589202,370.98,74.82,126.3636364,182.74,163.92,6750.568182,167.8315,1.77052381,10.75,0.125,25.57
8/1/10,214289299,1155819865,1369162800,3564136041,132660337,1392656997,485138298,379.46,76.02,145.3409091,219.88,175.60,7302.666667,172.9219091,1.759142857,10.75,0.125,24.75
9/1/10,365303789,824129024,1455621045,3308731021,95104927,1299235347,540890713,390.23,76.34,140.6272727,240.43,205.84,7729.590909,180.2826818,1.720785714,10.75,0.125,22.52
10/1/10,328543025,430532901,1347967227,3434997184,127038663,716646334,588213323,427.18,81.89,148.4809524,234.60,235.70,8289.761905,177.7431905,1.677070588,10.75,0.125,"	20.37"
11/1/10,401733098,139526287,1500399668,2703607389,145454868,1333048223,590723991,459.96,84.47,160.55,241.84,238.24,8458.420455,191.0556364,1.712176471,10.75,0.125,"	20.10"
12/1/10,441807449,145958502,1023562577,3505665637,114946324,2815505352,633402779,483.76,90.19,168.526087,274.46,250.63,9152.857143,202.8295217,1.69695,10.75,0.125,"	17.57"
1/1/11,251360803,107134951,727596585,2538728069,113607422,1188397798,564534322,511.10,93.06,179.63,295.99,265.29,9533.2,214.963,1.673378947,11.25,0.125,17.32
2/1/11,313850162,111012045,734734114,2734505152,59847825,1677645445,581678834,512.05,97.77,187.18,317.60,293.40,9880.9375,234.67695,1.667847368,11.25,0.125,17.43
3/1/11,111557231,1383486048,839211487,2885060835,116211699,1143710739,643255598,498.74,108.63,169.3565217,285.38,290.43,9503.358696,239.885913,1.658591304,11.75,0.125,20.72
4/1/11,36907439,2417293269,811060568,3129301936,196337982,1536034093,605443392,501.47,116.43,179.2611111,307.25,318.94,9482.75,245.554,1.592325,12,0.125,16.24
5/1/11,12355162,2558511249,906517475,3607067329,56244712,2681815642,661242147,498.77,108.15,177.095,307.19,308.58,8931.675,240.3410909,1.61227619,12,0.125,16.91
6/1/11,5918086,2231998393,1401147425,3486533431,122060310,1776446066,593730916,499.77,106.03,170.8772727,285.30,310.54,9066.852273,227.8728636,1.587127273,12.25,0.125,19.15
7/1/11,81370347,1841148599,1788269963,3741503803,178074206,2023005424,489329069,501.83,108.50,172.9761905,271.46,300.83,9650.464286,221.4341429,1.56362,12.5,0.125,19.23
8/1/11,454828761,1898957277,1946708709,4469094839,145663756,2396571771,724986876,501.42,100.53,177.45,288.69,310.31,8997.988636,222.9282609,1.595665217,12.5,0.125,35.03
9/1/11,504361247,1458146614,1649782250,4083706483,87326267,1379272432,779218542,490.91,100.77,177.2272727,272.34,296.30,8300.136364,224.2335,1.738195238,12,0.125,36.53
10/1/11,448579630,739963658,1479651325,3798356330,220478532,1750551624,828676993,446.02,100.15,150.4333333,251.59,274.85,7394.190476,202.9078095,1.779784211,11.5,0.125,"	32.83"
11/1/11,261923019,878197383,1528399034,3670797474,112541971,1522508297,804926171,428.83,105.02,135.5409091,244.54,274.28,7581.022727,200.7333636,1.774017647,11.5,0.125,"	31.94"
12/1/11,232079270,696235790,1127420665,3672558174,164397807,2527356605,747930900,420.05,103.77,136.455,236.06,258.52,7558.875,195.0349091,1.831116667,11,0.125,"	25.05"
1/1/12,243092698,461791913,745050324,1834601691,114520475,1553983918,560267092,441.73,106.71,140.347619,243.70,272.92,8061.916667,195.0600909,1.791665,10.5,0.125,20.23
2/1/12,81774352,715515063,796498380,2187260202,132502239,1665703505,532835056,461.56,112.71,140.3952381,245.98,279.51,8441.488095,187.504619,1.71965,10.5,0.125,18.42
3/1/12,79791045,2062711601,589357363,2775669082,89051916,2115644731,512901219,496.29,117.83,144.6636364,243.49,280.72,8470.784091,171.9504091,1.790177273,9.75,0.125,16.17
4/1/12,45728642,2261503830,319722374,2566938042,111728017,2250984794,437539218,529.42,113.76,147.6473684,228.09,274.22,8285.526316,164.5531429,1.850338095,9,0.125,17.82
5/1/12,45646737,3841228880,967071243,2752947996,86073282,1779810230,428482261,520.93,104.34,136.2727273,228.88,268.88,7896.909091,161.1819565,1.974995455,8.5,0.125,21.00
6/1/12,35208531,2591946308,881731287,2747893180,100462357,1065155301,366749946,522.33,90.91,134.6210526,241.97,267.33,7428.289474,149.7895238,2.047771429,8.5,0.125,21.13
7/1/12,422935468,2249733126,1308287250,2843109430,158774441,1348032731,378347721,609.45,96.95,127.9363636,310.75,333.00,7584.261364,165.4308182,2.02927619,8,0.125,17.57
8/1/12,725992467,1426016258,1269990049,2757446551,89267317,2334215899,467087071,622.91,105.62,107.7954545,315.55,332.23,7510.431818,154.3333043,2.029995652,7.5,0.125,15.69
9/1/12,852636648,1009436666,1346396230,2432265981,124167309,1496664060,413106044,615.18,106.40,99.47,316.65,320.71,8087.7425,156.7689,2.028473684,7.5,0.125,15.28
10/1/12,993362815,573738630,1992648253,2642347027,202432813,794293561,572226340,565.53,103.27,113.9478261,318.41,321.38,8062.032609,152.6622609,2.030615,7.25,0.125,"	16.28"
11/1/12,1075482679,166140844,1432699468,2637408019,163550831,1573939101,529570653,533.03,101.25,120.3454545,319.46,321.60,7711.227273,141.236,2.06046,7.25,0.125,"	16.70"
12/1/12,779844359,90022497,1195084313,2811405316,138113243,2311014633,539554652,534.79,101.41,128.8736842,303.04,308.75,7966.486842,135.8749048,2.083405556,7.25,0.125,"	17.31"
1/1/13,960789666,257122,1105406438,2257895056,103861981,473627148,469045840,526.05,105.15,150.4909091,288.21,303.36,8053.738636,139.7948261,2.032565,7.25,0.125,13.51
2/1/13,659314482,516592214,868234330,2127173825,134193599,1032223564,363515969,536.38,107.64,154.6388889,271.68,302.61,8060.925,135.83105,1.973610526,7.25,0.125,14.07
3/1/13,478507874,1910515708,902014704,2500197565,62296802,1290215651,424810763,536.08,102.83,139.87,263.34,309.58,7652.375,136.6869524,1.981531579,7.25,0.125,13.03
4/1/13,183022153,3797342586,774789925,2535726834,214677856,675674329,434511238,517.79,98.84,137.3909091,264.17,279.76,7221.161905,135.3523182,2.003114286,7.5,0.125,13.97
5/1/13,78991506,4152649753,850634823,2950349608,59005576,1096947164,398748755,542.20,99.42,124.0095238,276.05,295.37,7248.714286,132.7828261,2.029231818,8,0.125,13.49
6/1/13,73540792,3437194975,958215165,2591040236,157771000,728298305,340700035,560.16,99.84,114.815,266.85,297.11,7000.2375,124.0173,2.166294444,8,0.125,17.27
7/1/13,187166825,3059711867,964355619,2665901411,188680484,692159279,295560904,548.35,105.34,127.1913043,257.47,279.01,6906.641304,125.4332609,2.246445,8.5,0.125,13.97
8/1/13,710589591,2894181791,1369293400,2640517920,145043656,1088007005,358646931,498.05,108.19,137.055,258.93,234.94,7186.25,122.8111364,2.338454545,9,0.125,14.21
9/1/13,774504142,1851415204,1052207335,2789840363,127485000,1553745089,358129830,503.24,108.81,134.1857143,257.50,207.49,7159.269048,118.93,2.272535,9,0.125,14.69
10/1/13,809430922,819712043,1093059608,3219179400,190664925,980880521,425879606,472.83,105.68,132.5727273,278.15,201.78,7203.021739,115.197913,2.194582353,9.5,0.125,"	15.41"
